id,observed_on,image_url,latitude,longitude,color_max_x,color_min_x,color_max_y,color_min_y,red,green,blue
4261491,2019-01-19,https://inaturalist-open-data.s3.amazonaws.com/photos/5100635/medium.jpeg,43.731548,-79.762418,115,112,186,184,0.726797385620915,0.7248366013071895,0.7042483660130718
12294619,2019-03-29,https://static.inaturalist.org/photos/17686928/medium.jpg,40.8714705008,-73.921780279,117,109,119,113,0.43560535325241206,0.46075319016495486,0.42913165266106446
19352271,2019-01-01,https://static.inaturalist.org/photos/29758411/medium.jpg,40.93325,-75.27613,178,141,183,153,0.39101168480974735,0.3394886647358434,0.2922833649588868
19352915,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29759307/medium.jpeg,38.9335656989,-79.9652937037,320,307,119,109,0.6998472116119175,0.6974789915966386,0.7058314234784823
19357024,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29765821/medium.jpeg,42.971658644,-81.2887046582,126,106,167,153,0.13156551509492687,0.13330843448490506,0.12741985683162155
19359919,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29771457/medium.jpg,38.4665666667,-78.0191945,91,79,227,218,0.16301659125188536,0.15984917043740574,0.14096530920060332
19361826,2019-01-01,https://static.inaturalist.org/photos/29774984/medium.jpg,42.574829892,-86.2308435108,219,198,100,84,0.091076858550907,0.04518192303659432,0.03690888119953864
19361868,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29775049/medium.jpeg,40.7047550794,-79.5571341933,297,279,190,169,0.6857960409044,0.6438784126090628,0.6888451074209588
19363000,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29776852/medium.jpg,38.8392216667,-77.2121716667,177,171,117,112,0.665172735760971,0.6366013071895424,0.6048552754435107
19363210,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29777197/medium.jpg,32.1946883333,-94.76529,146,107,208,178,0.156505376344086,0.15672675521821633,0.15616698292220113
19363568,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29777843/medium.jpg,45.4290473682,-122.5216483708,119,87,110,85,0.47985282691165043,0.44080625257095846,0.3253165135518077
19363825,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29774540/medium.jpeg,42.3862223902,-87.8298568726,219,216,141,139,0.4454248366013072,0.4343137254901961,0.43137254901960786
19363998,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29778454/medium.jpeg,39.144555,-84.5086533333,287,282,142,136,0.4936507936507937,0.47908496732026146,0.46451914098972924
19367614,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29784675/medium.jpg,40.6820116667,-73.4600216667,78,75,218,217,0.6230392156862745,0.6642156862745098,0.7029411764705882
19368279,2019-01-01,https://static.inaturalist.org/photos/29785891/medium.jpeg,47.5502520635,-122.1232264861,217,206,183,171,0.4980643539467069,0.5571644042232278,0.6252388134741076
19369284,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29785203/medium.jpeg,31.2982745169,-85.376669436,173,144,126,106,0.6057889822595705,0.5773731714908186,0.5323685029567382
19374511,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29796514/medium.jpeg,43.3025183333,-79.8439233333,159,130,156,131,0.08391151332327802,0.08391151332327802,0.08391151332327802
19374606,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29796675/medium.jpeg,43.3151236,-79.8494562,228,201,153,123,0.20946055841691516,0.20487937110328003,0.2624152886961236
19375862,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29798687/medium.jpg,29.7716161513,-95.5696825794,203,170,161,132,0.7652941176470588,0.76760092272203,0.7481930026912725
19376667,2019-01-02,https://static.inaturalist.org/photos/29806641/medium.jpeg,28.08360834,-81.30286164,28,20,203,199,0.5675816993464052,0.5623529411764706,0.31302832244008716
19377479,2019-01-02,https://static.inaturalist.org/photos/29801205/medium.jpeg,43.51350089,-79.88841428,36,24,187,180,0.6382730015082956,0.5930241327300151,0.5477752639517346
19377629,2019-01-02,https://static.inaturalist.org/photos/29801414/medium.jpeg,43.51358339,-79.88772713,39,28,194,185,0.7703921568627451,0.6267320261437909,0.4461437908496732
19379425,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29804422/medium.jpg,38.6850366667,-90.46885,147,128,153,142,0.40660130718954246,0.41785947712418303,0.4577450980392157
19381010,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29806737/medium.jpeg,43.5463085346,-79.5837163925,182,177,215,211,0.5003921568627451,0.48287581699346405,0.4409150326797386
19381491,2019-01-02,https://static.inaturalist.org/photos/29807633/medium.jpg,32.4758375623,-86.3623044827,89,80,180,171,0.4066666666666667,0.40301960784313723,0.3770588235294118
19381519,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29807658/medium.jpeg,31.33151,-94.707243,154,115,128,102,0.4147276688453159,0.4208061002178649,0.44410675381263615
19381818,2019-01-02,https://static.inaturalist.org/photos/29808087/medium.jpg,40.9925327648,-74.3581993753,105,97,187,181,0.5838779956427015,0.5527544351073763,0.5198879551820729
19381947,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29808380/medium.jpg,39.738025,-75.6093,-1,-10,196,186,0.14209903253459608,0.14650637493026358,0.12504932576778108
19383125,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29809944/medium.jpeg,41.845381,-87.87001,198,178,108,92,0.4681276432141484,0.4355247981545559,0.40310869445817543
19384468,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29812072/medium.jpeg,45.3705063095,-75.7969968232,307,278,184,148,0.2733933933933934,0.24144850733086026,0.19027027027027027
19384566,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29812249/medium.jpeg,45.3738527346,-75.7968251618,123,88,201,174,0.7574151882975413,0.7244203236850295,0.5567032368502957
19386169,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29843400/medium.jpg,40.7875924185,-73.9823122044,142,113,211,174,0.4155761953904369,0.3915032679738562,0.3578603371173031
19386209,2019-01-02,https://static.inaturalist.org/photos/29815362/medium.jpeg,28.47537202,-81.46479462,47,37,216,206,0.8478690649813644,0.867671366067088,0.8602171447091234
19386211,2019-01-02,https://static.inaturalist.org/photos/29815372/medium.jpeg,28.47572928,-81.46553745,50,36,245,230,0.23187908496732026,0.24547385620915033,0.23135620915032679
19386213,2019-01-02,https://static.inaturalist.org/photos/29815380/medium.jpeg,28.47536611,-81.46583998,42,36,209,202,0.3130952380952381,0.47282913165266105,0.26176470588235295
19388186,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29818855/medium.jpeg,43.3148366667,-79.84915,148,128,332,301,0.08596521942110177,0.08611694677871148,0.10461601307189543
19391665,2019-01-02,https://static.inaturalist.org/photos/29824816/medium.jpg,40.6643216667,-73.9762716667,56,53,164,160,0.44058823529411767,0.3711764705882353,0.281764705882353
19397654,2019-01-02,https://inaturalist-open-data.s3.amazonaws.com/photos/29834267/medium.jpeg,39.1146918,-84.4936469,214,194,155,141,0.7662496109554933,0.7493432928727046,0.7419358854652972
19397898,2019-01-03,https://inaturalist-open-data.s3.amazonaws.com/photos/29834617/medium.jpg,40.726472376,-73.5920152798,110,106,174,172,0.7803921568627451,0.7699346405228759,0.7207843137254902
19399148,2019-01-02,https://static.inaturalist.org/photos/29836424/medium.jpeg,31.38708,-85.6635429,197,188,127,121,0.35086834733893557,0.3780952380952381,0.2903641456582633
19400277,2019-01-01,https://inaturalist-open-data.s3.amazonaws.com/photos/29838474/medium.jpeg,40.7828647,-73.9653551,199,179,175,158,0.6384168482207698,0.55965349102604,0.4588235294117647
19400369,2019-01-03,https://inaturalist-open-data.s3.amazonaws.com/photos/29838598/medium.jpeg,43.7214124,-79.4059811,137,132,204,200,0.7901960784313725,0.8044444444444444,0.8573856209150327
